sentence_id,token_id,sentence,token,spo_label
1,1,P : I have been facing some discomfort in my feet recently .,P,other
1,2,P : I have been facing some discomfort in my feet recently .,:,other
1,3,P : I have been facing some discomfort in my feet recently .,I,Subject
1,4,P : I have been facing some discomfort in my feet recently .,have,Predicate
1,5,P : I have been facing some discomfort in my feet recently .,been,Predicate
1,6,P : I have been facing some discomfort in my feet recently .,facing,Predicate
1,7,P : I have been facing some discomfort in my feet recently .,some,Object
1,8,P : I have been facing some discomfort in my feet recently .,discomfort,Object
1,9,P : I have been facing some discomfort in my feet recently .,in,Object
1,10,P : I have been facing some discomfort in my feet recently .,my,Object
1,11,P : I have been facing some discomfort in my feet recently .,feet,Object
1,12,P : I have been facing some discomfort in my feet recently .,recently,Object
1,13,P : I have been facing some discomfort in my feet recently .,.,other
2,1,Is this connected to my diabetes ?,Is,Predicate
2,2,Is this connected to my diabetes ?,this,Subject
2,3,Is this connected to my diabetes ?,connected,Predicate
2,4,Is this connected to my diabetes ?,to,Predicate
2,5,Is this connected to my diabetes ?,my,Object
2,6,Is this connected to my diabetes ?,diabetes,Object
2,7,Is this connected to my diabetes ?,?,other
3,1,"A : It could be , Abdullah .",A,other
3,2,"A : It could be , Abdullah .",:,other
3,3,"A : It could be , Abdullah .",It,other
3,4,"A : It could be , Abdullah .",could,other
3,5,"A : It could be , Abdullah .",be,other
3,6,"A : It could be , Abdullah .",",",other
3,7,"A : It could be , Abdullah .",Abdullah,other
3,8,"A : It could be , Abdullah .",.,other
4,1,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",Diabetes,Subject
4,2,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",can,Predicate
4,3,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",cause,Predicate
4,4,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",nerve,Object
4,5,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",damage,Object
4,6,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",known,Object
4,7,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",as,Object
4,8,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",peripheral,Object
4,9,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",neuropathy,Object
4,10,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",",",other
4,11,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",which,other
4,12,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",often,other
4,13,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",affects,other
4,14,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",the,other
4,15,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",feet,other
4,16,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",.,other
5,1,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",Diabetes,other
5,2,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",can,other
5,3,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",cause,other
5,4,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",nerve,other
5,5,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",damage,other
5,6,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",known,other
5,7,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",as,other
5,8,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",peripheral,Subject
5,9,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",neuropathy,Subject
5,10,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",",",other
5,11,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",which,other
5,12,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",often,Predicate
5,13,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",affects,Predicate
5,14,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",the,Object
5,15,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",feet,Object
5,16,"Diabetes can cause nerve damage known as peripheral neuropathy , which often affects the feet .",.,other
6,1,"This can lead to a sense of discomfort , numbness or pain .",This,Subject
6,2,"This can lead to a sense of discomfort , numbness or pain .",can,Predicate
6,3,"This can lead to a sense of discomfort , numbness or pain .",lead,Predicate
